Abendam
KORKUT
KORTAN
KÖKER
KÖKSAL
KUBAT
KUBİLAY
KUDAY
KUDDUSİ
KUDRET
KUNTAY
KUNTER
KURTBEY
KURTHAN
KURTULUŞ
KUTALP
KUTAN
KUTAY
KUTBAY
KUTER
KUTHAN
KUTLAY
KUTLU
KUTLUKHAN
KUZEY
KÜRŞAD
KÜRŞAT
LAÇİN
LAMİ
LATİF
LEMA
LEMİ
LEVENT
LEVNİ
LİDER
LOKMAN
LÜTFİ
LÜTFULLAH
MACİT
MAHDUM
MAHİR
MAHMUD
MAHMUR
MAHMUT
MANAS
MANÇO
MANSUR
MAZHAR
MECDEDDİN
MECİT
MECNUN
MEDENİ
MEHMET
MELİH
MELİK
MEMDUH
MEMUN
MENDERES
MENGİ
MENGÜ
MENGÜ/MENGİ
MENSUR
MERİÇ
MERİH
MERT
MERTCAN
MESTAN
MESUT
METE
METEHAN
METİN
MİR
MİRAÇ
MİRALAY
MİRKELAM
MİRZA
MİSBAH
MİTHAT
MUAMMER
MUAZ
MUHAMMED
MUHARREM
MUHTAR
MUHTEREM
MUHTEŞEM
MUHYİDDİN
MUKTEDİ
MUKTEDİR
MUKTEFİ
MURAT
MURATHAN
MUSLİH
MUSTAFA
MUTAHHAR
MUTASIM
MUTEBER
MUTEMED
MUTLU
MUTTALİB
MÜBAREK
MÜBEŞŞİR
MÜJDAT
MÜKERREM
MÜLAYİM
MÜMTAZ
MÜREN
MÜRSEL
MÜŞFİK
MÜŞİR
MÜZDAD
NABİ
